ligand,n_all_edges,n_glial_to_vascular_AD_increased_edges,in_prior,eligible,AUPR_rank,aupr,source_families,in_top20
TGFB1,1680,114,True,True,29.0,0.0353154123353379,Astrocyte;Microglia,False
TGFB2,469,37,True,True,184.0,0.0277583812073843,Astrocyte,False
COL1A1,182,0,True,False,,,,False
HBEGF,140,0,True,False,,,,False
CXCL10,16,0,True,False,,,,False
SLIT2,639,0,True,False,,,,False
ADM,365,1,True,True,152.0,0.0308799839149267,Astrocyte,False
VEGFC,364,5,True,True,168.0,0.0303236141908003,Astrocyte,False
ANGPT2,171,0,True,False,,,,False
EGF,312,26,True,True,1.0,0.0510294134567569,Astrocyte,True
FGF1,768,9,True,True,2.0,0.0492110200975098,Astrocyte,True
VEGFA,1375,32,True,True,5.0,0.0438115516075351,Astrocyte,True
FGF2,709,40,True,True,7.0,0.0423482793197011,Astrocyte,True
ANGPT1,198,34,True,True,8.0,0.0402478904834386,Astrocyte,True
PDGFB,322,9,True,True,3.0,0.046555126324662,Microglia,True
SELPLG,16,5,True,True,4.0,0.0452888349529974,Microglia,True
IL1B,15,3,True,True,10.0,0.0395129699682752,Microglia,True
TNFSF10,246,5,True,True,11.0,0.0394512367709522,Microglia,True
IL18,34,4,True,True,12.0,0.0393740910261323,Microglia,True
