ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,source_cellstates,target_cellstates,lr_pair_examples
TGFB2,TGFB2,37,4.04703697732985,1.4379014798032153,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,TGFB2 - ACVR1/TGFBR1/TGFBR2;TGFB2 - ACVR1/TGFBR2;TGFB2 - ACVR1B/TGFBR2;TGFB2 - ACVR1C/TGFBR2;TGFB2 - ENG
TGFB1,TGFB1,114,2.87124744157456,0.23019039792360152,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,TGFB1 - ACVR1/TGFBR1/TGFBR2;TGFB1 - ACVR1/TGFBR2;TGFB1 - ACVR1B/TGFBR2;TGFB1 - ACVR1C/TGFBR2;TGFB1 - ACVRL1
VEGFB,VEGFB,23,2.32986974754504,0.600184139368093,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,VEGFB - FLT1/KDR;VEGFB - NRP1
COL21A1,COL21A1,17,2.24645398079921,1.060850017007791,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL21A1 - ITGA1/ITGB1;COL21A1 - ITGA10/ITGB1;COL21A1 - ITGA11/ITGB1;COL21A1 - ITGA2/ITGB1
APOE,APOE,104,1.9275537913458496,0.5114778172377962,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,APOE - ABCA1;APOE - LDLR;APOE - LRP1;APOE - LRP4;APOE - LRP5
COL16A1,COL16A1,19,1.9162431729958205,0.7095338029022626,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL16A1 - ITGA1/ITGB1;COL16A1 - ITGA10/ITGB1;COL16A1 - ITGA11/ITGB1;COL16A1 - ITGA2/ITGB1
EFEMP1,EFEMP1,7,1.89857153828267,1.088199738321593,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EFEMP1 - EGFR
COL5A3,COL5A3,27,1.8569340107312504,0.9368207940328127,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL5A3 - ITGA1/ITGB1;COL5A3 - ITGA10/ITGB1;COL5A3 - ITGA11/ITGB1;COL5A3 - ITGA2/ITGB1;COL5A3 - SDC3
LRIG1,LRIG1,8,1.8377587547715803,0.9264407820516828,Astrocyte;Microglia,Astro_Intermediate;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LRIG1 - EGFR
ANGPTL4,ANGPTL4,45,1.83324123760224,0.7540610020037726,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ANGPTL4 - CDH11;ANGPTL4 - CDH5;ANGPTL4 - GPIHBP1;ANGPTL4 - ITGA5/ITGB1;ANGPTL4 - SDC2
HGF,HGF,40,1.8289244916678904,0.5838890885732314,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,HGF - CD44;HGF - ITGB1;HGF - NRP1;HGF - SDC2
COL8A2,COL8A2,18,1.82868199618166,0.9880019145048051,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL8A2 - ITGA1/ITGB1;COL8A2 - ITGA10/ITGB1;COL8A2 - ITGA11/ITGB1;COL8A2 - ITGA2/ITGB1;COL8A2 - SLC4A11
BMP7,BMP7,47,1.7478223452594697,0.45753202821358846,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,BMP7 - ACTR2;BMP7 - ACVR1/ACVR2A;BMP7 - ACVR1/ACVR2B;BMP7 - ACVR1/BMPR2;BMP7 - ACVR1B
RGMA,RGMA,6,1.7180554637255403,1.1478209044365033,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,RGMA - BMPR1B;RGMA - BMPR2
SPON1,SPON1,18,1.6926432282078796,0.6285734255047708,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SPON1 - APP;SPON1 - LRP8
LRP1B,LRP1B,4,1.65239811589463,0.7595638112584676,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LRP1B - PLAUR
