receiver_context,target_clean,max_regulatory_potential,sum_regulatory_potential,n_supporting_glial_ligands,best_ligand,supporting_ligands_top5,celltype,logFC,PValue,FDR,direction,rank_in_vascular_receiver
Cerebrovascular cells,JUNB,0.27527473298306354,1.527628360549929,20,EGF,EGF:0.2753;VEGFA:0.235;IL1B:0.1857;FGF2:0.1742;TNFSF10:0.144,Cerebrovascular cells,0.598591275538839,0.0369158852380014,0.908262525040509,AD-enriched_nominal,1
Cerebrovascular cells,NAMPT,0.24377629787615118,0.5198891977976549,20,IL1B,IL1B:0.2438;PDGFB:0.0705;PDGFC:0.0679;IL18:0.0143;IGF1:0.0102,Cerebrovascular cells,0.61907896969327,0.0113745565149654,0.908262525040509,AD-enriched_nominal,2
Cerebrovascular cells,PMAIP1,0.22780053795474572,1.4323639986328893,20,EGF,EGF:0.2278;FGF2:0.1959;IL1B:0.1916;VEGFA:0.1479;TNFSF10:0.1212,Cerebrovascular cells,0.688113707425305,0.0354034978581081,0.908262525040509,AD-enriched_nominal,3
Cerebrovascular cells,GEM,0.2258181247509402,1.2860584449176866,20,EGF,EGF:0.2258;FGF2:0.1939;IGF1:0.1514;VEGFA:0.1458;HGF:0.1456,Cerebrovascular cells,0.971925701436794,0.0333408322781704,0.908262525040509,AD-enriched_nominal,4
Cerebrovascular cells,HBP1,0.22396674083542564,0.44381376825089863,20,IGF1,IGF1:0.224;PDGFC:0.0685;JAM2:0.0148;IL1B:0.0124;TNFSF10:0.0099,Cerebrovascular cells,0.321990264441905,0.0229773131970444,0.908262525040509,AD-enriched_nominal,5
Cerebrovascular cells,IER3,0.19784724292266334,1.363737009506915,20,FGF2,FGF2:0.1978;IL1B:0.1946;EGF:0.1868;TNFSF10:0.1513;PDGFB:0.1199,Cerebrovascular cells,0.838308827289835,0.0195915118350472,0.908262525040509,AD-enriched_nominal,6
Cerebrovascular cells,PLAT,0.1950577514713471,1.0673639187687234,20,VEGFA,VEGFA:0.1951;EGF:0.1705;FGF1:0.1289;IGF1:0.1271;FGF2:0.1181,Cerebrovascular cells,0.535674920766635,0.0323490125970486,0.908262525040509,AD-enriched_nominal,7
Cerebrovascular cells,SDF2L1,0.19221162063832611,0.6683264787606763,20,IGF1,IGF1:0.1922;VEGFA:0.1423;PDGFC:0.0688;IL1B:0.0582;FGF2:0.0559,Cerebrovascular cells,0.847206663320001,0.00473999212564541,0.908262525040509,AD-enriched_nominal,8
Cerebrovascular cells,CCNL1,0.19052769888330712,0.39634762466489554,20,EGF,EGF:0.1905;IL1B:0.0565;PDGFB:0.053;IL18:0.0098;IGF1:0.0077,Cerebrovascular cells,0.371446131346709,0.0168795555189926,0.908262525040509,AD-enriched_nominal,9
Cerebrovascular cells,PHLDA1,0.18846265442455137,1.1691678693053849,20,FGF2,FGF2:0.1885;EGF:0.1866;HGF:0.1426;IGF1:0.1418;PDGFB:0.115,Cerebrovascular cells,0.59275887202501,0.0449631654013683,0.908262525040509,AD-enriched_nominal,10
Cerebrovascular cells,SUSD6,0.1869199163727948,0.3211262829642299,20,IL1B,IL1B:0.1869;IL18:0.0121;JAM2:0.01;IGF1:0.009;ANGPT1:0.008,Cerebrovascular cells,0.373913126745595,0.00926030143032457,0.908262525040509,AD-enriched_nominal,11
Cerebrovascular cells,GBP2,0.18650354713425185,0.6476027655045579,20,IL1B,IL1B:0.1865;HGF:0.1457;ANGPT1:0.0714;PDGFC:0.0714;VEGFA:0.0483,Cerebrovascular cells,0.731063949134791,0.00824928158362004,0.908262525040509,AD-enriched_nominal,12
Cerebrovascular cells,FOXC1,0.18649667501285572,0.6482786172658159,20,VEGFA,VEGFA:0.1865;PDGFB:0.1178;FGF2:0.1156;IL18:0.0699;PDGFC:0.0686,Cerebrovascular cells,0.313454879031845,0.0322353048323345,0.908262525040509,AD-enriched_nominal,13
Cerebrovascular cells,SELENOP,0.1532897327779133,0.4922068652134034,20,IGF1,IGF1:0.1533;FGF2:0.1195;PDGFB:0.0553;IL1B:0.0495;JAM2:0.0108,Cerebrovascular cells,0.493176585563087,7.5501786163791e-4,0.718861109399258,AD-enriched_nominal,14
Cerebrovascular cells,NFIL3,0.1456796603542564,0.5360805319234967,20,VEGFA,VEGFA:0.1457;PDGFC:0.092;PDGFB:0.0789;FGF2:0.0587;IL18:0.0167,Cerebrovascular cells,0.805874041541184,0.0219739218284353,0.908262525040509,AD-enriched_nominal,15
Cerebrovascular cells,ETS2,0.14511343063794857,0.5864288542598382,20,FGF2,FGF2:0.1451;PDGFB:0.1369;EGF:0.0704;ANGPT1:0.0699;PDGFC:0.0293,Cerebrovascular cells,0.405682158681564,0.0457335844657518,0.908262525040509,AD-enriched_nominal,16
