sample,group,source,target,LR_Pair,panel,n_spots,ligand_detected_fraction,receptor_detected_fraction,all_subunits_available,missing_subunits,mean_spatial_score
1-1,CN,Astro_Intermediate,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,3710,0.020754716981132074,0.0026954177897574125,True,,0.0
1-1,CN,Cerebrovascular_Pericyte,Astro_Reactive,COL1A1:CD44,6C,3710,0.0029649595687331535,0.06091644204851752,True,,6.319189905920725e-05
1-1,CN,CapEC_ActLow,Astro_Reactive,HBEGF:CD44,6C,3710,0.052830188679245285,0.06091644204851752,True,,0.0002192946020242836
1-1,CN,Inhibitory,CapEC_ActHigh,SLIT2:ROBO4,6C,3710,0.14097035040431266,0.0215633423180593,True,,4.9802158960206186e-05
1-1,CN,CapEC_ActHigh,Excitatory,CXCL10:DPP4,6C,3710,0.0013477088948787063,0.009433962264150943,True,,0.0
1-1,CN,Micro_DAM,CapEC_ActMid,TGFB1:ACVR1C/TGFBR2,6C,3710,0.03611859838274933,0.0026954177897574125,True,,0.0
1-1,CN,Astro_Reactive,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,3710,0.020754716981132074,0.0026954177897574125,True,,0.0
1-1,CN,CapEC_ActHigh,OPCs,VWF:TNFRSF11B,6C,3710,0.15013477088948787,0.007277628032345013,True,,2.6348727222312096e-05
1-1,CN,Oligodendrocytes,CapEC_ActMid,COL4A5:CD93,6C,3710,0.10997304582210242,0.009164420485175202,True,,0.00016743013944353077
1-1,CN,Astro_Homeostatic,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,3710,0.020754716981132074,0.0026954177897574125,True,,0.0
1-1,CN,CapEC_ActHigh,Cerebrovascular_Pericyte,ADM:PTH1R,6D,3710,0.011051212938005392,0.06765498652291105,True,,3.231495737562004e-06
1-1,CN,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:ITGA5/ITGB1,6D,3710,0.00431266846361186,0.001078167115902965,True,,0.0
1-1,CN,CapEC_ActHigh,CapEC_ActHigh,EDN1:ADGRL4,6D,3710,0.012398921832884097,0.02371967654986523,True,,2.097138804873789e-05
1-1,CN,CapEC_ActHigh,CapEC_ActMid,EDN1:ADGRL4,6D,3710,0.012398921832884097,0.02371967654986523,True,,2.097138804873789e-05
1-1,CN,CapEC_ActHigh,Astro_Reactive,COL4A2:CD44,6D,3710,0.042587601078167114,0.06091644204851752,True,,0.00020450494601765806
1-1,CN,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TIE1,6D,3710,0.00431266846361186,0.03018867924528302,True,,1.289862632319925e-05
1-1,CN,CapEC_ActHigh,CapEC_ActMid,ANGPT2:TEK,6D,3710,0.00431266846361186,0.04231805929919137,True,,1.1917256844538176e-05
1-1,CN,CapEC_ActHigh,CapEC_ActMid,ANGPT2:ITGA5/ITGB1,6D,3710,0.00431266846361186,0.001078167115902965,True,,0.0
1-1,CN,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TEK,6D,3710,0.00431266846361186,0.04231805929919137,True,,1.1917256844538176e-05
1-1,CN,CapEC_ActHigh,CapEC_ActLow,EDN1:ADGRL4,6D,3710,0.012398921832884097,0.02371967654986523,True,,2.097138804873789e-05
18-64,CN,Astro_Intermediate,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,4019,0.022642448370241354,0.011943269470017417,True,,0.0
18-64,CN,Cerebrovascular_Pericyte,Astro_Reactive,COL1A1:CD44,6C,4019,0.005473998507091316,0.019905449116695697,True,,0.0
18-64,CN,CapEC_ActLow,Astro_Reactive,HBEGF:CD44,6C,4019,0.0587210748942523,0.019905449116695697,True,,6.422827256924633e-05
