source,target,LR_Pair,panel,delta_AD_CN,permutation_p,n_sections,min_receptor_detection,all_subunits_available,q_BH
Astro_Homeostatic,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,-1.7458884935872354e-06,1.0,6,0.0026954177897574125,True,1.0
Astro_Intermediate,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,-2.6512831386884925e-06,1.0,6,0.0026954177897574125,True,1.0
Astro_Reactive,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,-2.448281652789772e-06,1.0,6,0.0026954177897574125,True,1.0
CapEC_ActHigh,Astro_Reactive,COL4A2:CD44,6D,0.049010337576040564,0.3,6,0.019905449116695697,True,1.0
CapEC_ActHigh,CapEC_ActHigh,ANGPT2:ITGA5/ITGB1,6D,-3.599251172407402e-05,0.8,6,0.001078167115902965,True,1.0
CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TEK,6D,-0.009096493161356155,0.6,6,0.04231805929919137,True,1.0
CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TIE1,6D,-0.02411161986986207,1.0,6,0.03018867924528302,True,1.0
CapEC_ActHigh,CapEC_ActHigh,EDN1:ADGRL4,6D,-0.007423157403199647,1.0,6,0.02371967654986523,True,1.0
CapEC_ActHigh,CapEC_ActLow,EDN1:ADGRL4,6D,-0.007423157403199647,1.0,6,0.02371967654986523,True,1.0
CapEC_ActHigh,CapEC_ActMid,ANGPT2:ITGA5/ITGB1,6D,-3.599251172407402e-05,0.8,6,0.001078167115902965,True,1.0
CapEC_ActHigh,CapEC_ActMid,ANGPT2:TEK,6D,-0.009096493161356155,0.6,6,0.04231805929919137,True,1.0
CapEC_ActHigh,CapEC_ActMid,EDN1:ADGRL4,6D,-0.007423157403199647,1.0,6,0.02371967654986523,True,1.0
CapEC_ActHigh,Cerebrovascular_Pericyte,ADM:PTH1R,6D,-0.00019628308209033996,1.0,6,0.06765498652291105,True,1.0
CapEC_ActHigh,Excitatory,CXCL10:DPP4,6C,1.8815234182783254e-05,0.4,6,0.0035918022395943377,True,1.0
CapEC_ActHigh,OPCs,VWF:TNFRSF11B,6C,-0.04293931777945549,0.6,6,0.007277628032345013,True,1.0
CapEC_ActLow,Astro_Reactive,HBEGF:CD44,6C,0.023428126412666273,0.6,6,0.019905449116695697,True,1.0
Cerebrovascular_Pericyte,Astro_Reactive,COL1A1:CD44,6C,-1.6226585337130386e-05,0.9,6,0.019905449116695697,True,1.0
Inhibitory,CapEC_ActHigh,SLIT2:ROBO4,6C,-0.01945248385519177,0.8,6,0.0215633423180593,True,1.0
Micro_DAM,CapEC_ActMid,TGFB1:ACVR1C/TGFBR2,6C,-0.018232281720731155,0.8,6,0.0026954177897574125,True,1.0
Oligodendrocytes,CapEC_ActMid,COL4A5:CD93,6C,-0.007661100521938358,0.9,6,0.009164420485175202,True,1.0
