source,target,ligand,receptor,panel,LR_Pair
Astro_Intermediate,CapEC_ActMid,TGFB2,ACVR1C_TGFBR2,6C,TGFB2:ACVR1C/TGFBR2
Cerebrovascular_Pericyte,Astro_Reactive,COL1A1,CD44,6C,COL1A1:CD44
CapEC_ActLow,Astro_Reactive,HBEGF,CD44,6C,HBEGF:CD44
Inhibitory,CapEC_ActHigh,SLIT2,ROBO4,6C,SLIT2:ROBO4
CapEC_ActHigh,Excitatory,CXCL10,DPP4,6C,CXCL10:DPP4
Micro_DAM,CapEC_ActMid,TGFB1,ACVR1C_TGFBR2,6C,TGFB1:ACVR1C/TGFBR2
Astro_Reactive,CapEC_ActMid,TGFB2,ACVR1C_TGFBR2,6C,TGFB2:ACVR1C/TGFBR2
CapEC_ActHigh,OPCs,VWF,TNFRSF11B,6C,VWF:TNFRSF11B
Oligodendrocytes,CapEC_ActMid,COL4A5,CD93,6C,COL4A5:CD93
Astro_Homeostatic,CapEC_ActMid,TGFB2,ACVR1C_TGFBR2,6C,TGFB2:ACVR1C/TGFBR2
CapEC_ActHigh,Cerebrovascular_Pericyte,ADM,PTH1R,6D,ADM:PTH1R
CapEC_ActHigh,CapEC_ActHigh,ANGPT2,ITGA5_ITGB1,6D,ANGPT2:ITGA5/ITGB1
CapEC_ActHigh,CapEC_ActHigh,EDN1,ADGRL4,6D,EDN1:ADGRL4
CapEC_ActHigh,CapEC_ActMid,EDN1,ADGRL4,6D,EDN1:ADGRL4
CapEC_ActHigh,Astro_Reactive,COL4A2,CD44,6D,COL4A2:CD44
CapEC_ActHigh,CapEC_ActHigh,ANGPT2,TIE1,6D,ANGPT2:TIE1
CapEC_ActHigh,CapEC_ActMid,ANGPT2,TEK,6D,ANGPT2:TEK
CapEC_ActHigh,CapEC_ActMid,ANGPT2,ITGA5_ITGB1,6D,ANGPT2:ITGA5/ITGB1
CapEC_ActHigh,CapEC_ActHigh,ANGPT2,TEK,6D,ANGPT2:TEK
CapEC_ActHigh,CapEC_ActLow,EDN1,ADGRL4,6D,EDN1:ADGRL4
