"sample_id","n_cells"
"D1_NC1",42
"D1_NC10",73
"D1_NC11",46
"D1_NC12",9
"D1_NC13",16
"D1_NC14",3
"D1_NC15",59
"D1_NC16",44
"D1_NC17",44
"D1_NC18",36
"D1_NC19",49
"D1_NC2",60
"D1_NC20",69
"D1_NC21",34
"D1_NC22",38
"D1_NC23",51
"D1_NC25",2
"D1_NC26",37
"D1_NC27",29
"D1_NC3",37
"D1_NC4",20
"D1_NC6",4
"D1_NC7",8
"D1_NC8",50
"D1_NC9",23
"D1_UC1",81
"D1_UC10",22
"D1_UC11",22
"D1_UC12",5
"D1_UC13",59
"D1_UC14",34
"D1_UC15",50
"D1_UC16",1
"D1_UC17",45
"D1_UC18",54
"D1_UC19",27
"D1_UC2",20
"D1_UC20",72
"D1_UC21",14
"D1_UC22",35
"D1_UC23",43
"D1_UC24",93
"D1_UC25",41
"D1_UC26",59
"D1_UC27",49
"D1_UC28",57
"D1_UC29",2
"D1_UC3",28
"D1_UC4",21
"D1_UC5",31
"D1_UC6",45
"D1_UC7",2
"D1_UC8",62
"D1_UC9",17
"D2_NC1",35
"D2_NC2",76
"D2_NC3",26
"D2_NC4",247
"D2_NC5",141
"D2_NC6",43
"D2_UC2",40
"D2_UC3",87
"D2_UC4",43
"D2_UC5",44
