probe,gene,raw_annotation
7929388,PLCE1,"NM_001165979 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// NM_001288989 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// NM_016341 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// ENST00000260766 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// ENST00000371375 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// ENST00000371380 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// ENST00000371385 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// AF117948 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// AF190642 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// BC140705 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// BC144286 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// BC151854 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196"
7953040,CACNA1C,"NM_000719 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129827 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129829 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129830 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129831 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129832 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129833 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129834 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129835 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129836 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129837 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129838 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129839 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129840 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129841 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129842 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129843 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129844 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129846 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001167623 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001167624 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001167625 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_199460 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000327702 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000335762 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000344100 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000347598 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399591 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399595 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399597 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399601 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399603 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399606 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399617 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399621 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399629 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399634 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399637 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399638 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399641 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399644 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399649 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399655 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000402845 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000406454 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// AF465484 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// AY830711 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// AY830712 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// AY830713 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// BC146846 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// L29529 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// L29534 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// L29536 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// Z34817 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000480911 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// AB209016 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// AK302698 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775"
7953094,CACNA1C,"NM_000719 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129827 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129829 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129830 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129831 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129832 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129833 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129834 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129835 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129836 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129837 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129838 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129839 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129840 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129841 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129842 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129843 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129844 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001129846 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001167623 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001167624 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_001167625 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// NM_199460 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775 /// ENST00000399655 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C subunit // 12p13.3 // 775"
7960177,SLC6A12,"NM_001122847 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// NM_001122848 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// NM_001206931 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// NM_003044 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// XM_005253747 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// ENST00000359674 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// ENST00000397296 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// ENST00000424061 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// ENST00000535498 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// ENST00000536116 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// ENST00000536824 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// ENST00000542825 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// ENST00000545058 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// AK096046 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// AK125026 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// BC126215 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// BC126217 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// L42300 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// U27699 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539 /// ENST00000538272 // SLC6A12 // solute carrier family 6 (neurotransmitter transporter), member 12 // 12p13 // 6539"
7964834,CPM,NM_001005502 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// NM_001874 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// NM_198320 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// XM_005268653 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// ENST00000338356 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// ENST00000546373 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// ENST00000547924 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// ENST00000548954 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// ENST00000551568 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// ENST00000551728 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// ENST00000551897 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// AF368463 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// BC022276 // CPM // carboxypeptidase M // 12q14.3 // 1368
7969596,GPC5,NM_004466 // GPC5 // glypican 5 // 13q32 // 2262 /// ENST00000377067 // GPC5 // glypican 5 // 13q32 // 2262 /// AF001462 // GPC5 // glypican 5 // 13q32 // 2262 /// BC039730 // GPC5 // glypican 5 // 13q32 // 2262 /// U66033 // GPC5 // glypican 5 // 13q32 // 2262
8016094,GJC1,"NM_001080383 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052 /// NM_005497 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052 /// ENST00000330514 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052 /// ENST00000426548 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052 /// ENST00000592524 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052 /// AK124339 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052 /// BC096213 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052 /// BC096214 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052 /// BC096215 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052 /// BC096216 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052 /// ENST00000590758 // GJC1 // gap junction protein, gamma 1, 45kDa // 17q21.31 // 10052"
8018731,RHBDF2,NM_001005498 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// NM_024599 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// XM_005257672 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// XM_006722081 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// ENST00000313080 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// ENST00000585989 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// ENST00000589582 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// ENST00000590168 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// ENST00000591885 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// ENST00000592123 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// AK074034 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// AK292135 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// AK292166 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// AK303434 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// AL833680 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// AY500247 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// BC016034 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// ENST00000587640 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651 /// AK057882 // RHBDF2 // rhomboid 5 homolog 2 (Drosophila) // 17q25.1 // 79651
8023598,RNF152,NM_173557 // RNF152 // ring finger protein 152 // 18q21.33 // 220441 /// XM_005266650 // RNF152 // ring finger protein 152 // 18q21.33 // 220441 /// ENST00000312828 // RNF152 // ring finger protein 152 // 18q21.33 // 220441 /// ENST00000591306 // RNF152 // ring finger protein 152 // 18q21.33 // 220441 /// AK096495 // RNF152 // ring finger protein 152 // 18q21.33 // 220441 /// AK122758 // RNF152 // ring finger protein 152 // 18q21.33 // 220441 /// BC111956 // RNF152 // ring finger protein 152 // 18q21.33 // 220441
8048782,COL4A3,"NM_000091 // COL4A3 // collagen, type IV, alpha 3 (Goodpasture antigen) // 2q36-q37 // 1285 /// ENST00000396578 // COL4A3 // collagen, type IV, alpha 3 (Goodpasture antigen) // 2q36-q37 // 1285 /// ENST00000471862 // COL4A3 // collagen, type IV, alpha 3 (Goodpasture antigen) // 2q36-q37 // 1285"
